7203 東証1部 トヨタ自動車(株)（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","7599","7626","7530","7565","6672300","7565"
"2020-01-07","7654","7722","7619","7715","4960700","7715"
"2020-01-08","7565","7642","7541","7617","5612200","7617"
"2020-01-09","7672","7690","7638","7670","4253000","7670"
"2020-01-10","7695","7698","7651","7661","3483400","7661"
"2020-01-14","7724","7752","7700","7739","4861900","7739"
"2020-01-15","7681","7727","7660","7672","4355600","7672"
"2020-01-16","7672","7691","7661","7687","3222600","7687"
"2020-01-17","7712","7712","7672","7695","4328000","7695"
"2020-01-20","7714","7786","7706","7780","3155000","7780"
"2020-01-21","7802","7894","7797","7854","5197600","7854"
"2020-01-22","7850","7850","7787","7823","4438600","7823"
"2020-01-23","7815","7864","7798","7836","4188800","7836"
"2020-01-24","7836","7876","7820","7872","3714500","7872"
"2020-01-27","7793","7817","7752","7752","4927900","7752"
"2020-01-28","7720","7771","7708","7747","4931000","7747"
"2020-01-29","7745","7775","7725","7766","3595900","7766"
"2020-01-30","7736","7736","7588","7634","4878800","7634"
"2020-01-31","7675","7726","7652","7652","4908700","7652"
"2020-02-03","7557","7619","7534","7580","4603600","7580"
"2020-02-04","7535","7644","7523","7639","3996600","7639"
"2020-02-05","7710","7735","7683","7715","4007200","7715"
"2020-02-06","7774","8026","7770","7914","12735500","7914"
"2020-02-07","7959","7966","7822","7862","4842100","7862"
"2020-02-10","7785","7809","7734","7748","4037800","7748"
"2020-02-12","7710","7794","7673","7794","5167100","7794"
"2020-02-13","7765","7787","7727","7758","3403400","7758"
"2020-02-14","7761","7765","7701","7729","3651300","7729"
"2020-02-17","7674","7736","7621","7725","3057300","7725"
"2020-02-18","7678","7707","7581","7594","4216000","7594"
"2020-02-19","7667","7668","7530","7543","5245600","7543"
"2020-02-20","7650","7779","7648","7752","5727900","7752"
"2020-02-21","7785","7877","7775","7837","5154900","7837"
"2020-02-25","7470","7642","7450","7574","8347000","7574"
"2020-02-26","7501","7572","7464","7545","6774900","7545"
"2020-02-27","7476","7480","7349","7384","8846900","7384"
"2020-02-28","7202","7239","7004","7127","10618700","7127"
"2020-03-02","6941","7195","6933","7154","9061500","7154"
"2020-03-03","7288","7348","7044","7044","8070700","7044"
"2020-03-04","6968","7056","6920","6974","5854100","6974"
"2020-03-05","7074","7090","6962","7008","5861000","7008"
"2020-03-06","6900","6901","6751","6794","8209000","6794"
"2020-03-09","6570","6587","6376","6495","8862700","6495"
"2020-03-10","6395","6660","6266","6600","9822300","6600"
"2020-03-11","6630","6830","6512","6535","8273900","6535"
"2020-03-12","6400","6449","6229","6309","9598800","6309"
"2020-03-13","5926","6343","5771","6084","15841000","6084"
"2020-03-16","6079","6178","5927","5941","9304800","5941"
"2020-03-17","5853","6450","5822","6360","16226800","6360"
"2020-03-18","6325","6777","6300","6317","18416800","6317"
"2020-03-19","6320","6589","6318","6395","18742300","6395"
"2020-03-27","6980","7029","6733","7029","15261400","7029"
